"Removed by SARE operator", "Wypisany ręcznie przez operatora systemu SARE"
"Willing to sign off", "Status nadawany przez operatora po wyrażeniu chęci wypisania się przez odbiorcę"
"Willing to sign off (by link)", "Odbiorca zgłasza chęd wypisania, np. przez kliknięcie w link wypisujący"
"Not confirmed, confirmation email not sent", "Adres nie został w żaden sposób potwierdzony, nie wysłano maila administracyjnego"
"Saved, waiting to be confirmed", "Adres zapisany w bazie i oczekujący na potwierdzenie, wysłano mail administracyjny"
"Subscriber blocked", "Adres zablokowany przez operatora"
"Saved and confirmed", "Adres zapisany i potwierdzony"
"Integration enabled","Integracja włączona"
"Your account ID", "Twój UID"
"Your account key", "Twój klucz integracji"
"Problem notifications sent to", "Raporty z problemami wysyłaj do"
"Send confirmation email from SARE","Wysyłaj prośbę o potwierdzenia adresu ze strony SARE"
"Save new subscribers with state", "Zapisuj nowych subskrybentów ze statusem"
"API endpoint URL","Lokalizacja punktu API"
"Logging all requests to file", "Zapisuj wywołania do plików logowania"
"Advanced targeting options","Zaawansowane ustawienia eksportu"
"Enable customer data synchro","Synchronizacja danych klienta włączona"
"Update on address change", "Aktualizacja przy zmianie danych adresowych"
"Update on login", "Aktualizacja podczas logowania"
"Update after order is placed", "Aktualizacja po złożeniu zamówienia"
"Customer subscribers settings","Ustawienia synchronizacji klientów"
"Guest subscribers settings","Ustawienia synchronizacji gości"
"Synchronize customer subscribers", "Synchronizuj nowych klientów"
"Synchronize guest subscribers","Synchronizuj subskrybentów - gości"
"Subscribed","Zapisanych i potwierdzonych"
"Unsubscribed", "Niezapisanych"
"Not activated", "Niepotwierdzonych"
"SARE statistics","SARE - statystyki subskrybentów"
"Configure your SARE integration details. Click <a href='%s'>here</a> to read instructions.", "Skonfiguruj swoje ustawienia. Kliknij <a href='%s'>tutaj</a>, by uzyskać pomoc. "
"Contact: Adam Karnowka / <a href='mailto: adam.karnowka@creativestyle.pl?subject=[SARE] Support (Magento: %s)'>adam.karnowka@creativestyle.pl</a>", "Kontakt: Adam Karnowka / <a href='mailto: adam.karnowka@creativestyle.pl?subject=[SARE] Support (Magento: %s)'>adam.karnowka@creativestyle.pl</a>"
"Synchronize list", "Synchronizacja list"
"Login to SARE panel", "Logowanie w panelu SARE"
"Review logs", "Podgląd logów"
"Yes", "Tak"
"No","Nie"
"Needed properties...", "Wymagane cechy..."
"Customer//'s gender", "Płeć klienta"
"Date of birth","Data urodzenia"
"Unsubscribe URL","URL wypisu (Magento)"
"Register datetime","Czas rejestracji"
"Data at SARE side will be updated after customer changes his address","Dane po stronie SARE będą aktualizowane w momencie, gdy klient zmieni swoje dane adresowe"
"Do not change, unless asked to", "To pole nie powinno zostać zmienianie, chyba, że na polecenie operatora SARE"
"find in /var/log/sare.log (make sure you have logging enabled at system level)", "Plik znajduje się w /var/log/sare.log. Upewnij się, że logowanie jest włączone na poziomie systemowym."
"General settings","Ustawienia ogólne"
" integration", "integracja"
"If no - everything is back do Magento default process.","Jeżeli wyłączysz integrację, używany będzie domyślny proces Magento."
"Abandoned carts interface","Interfejs porzuconych koszyków"
"Make sure your subscribers are 100% confirmed!", "Upewnij się, że Twoi subskrybenci potwierdzili chęć otrzymywania wiadomości."
"If you manage double opt-in by Magento - set this to no (recommended)", "Jeżeli obsługa procesu double opt-in odbywa się poprzez Magento, zaznacz tę opcję jako 'Nie'."
"Unique and random string, which you have defined in your SARE account.", "Unikalny klucz wymiany danych, który znajdziesz w zakładce Preferencje / Ogólne w panelu SARE."
"Data at SARE side will be updated after order is placed","Dane po stronie SARE będą aktualizowane po złożeniu zamówienia."
"Data at SARE side will be updated when customer logs in","Dane po stronie SARE będą aktualizowane po zalogowaniu użytkownika."
"Last login date","Data i godzina ostatniego logowania"
"Magento internal customer_id (entity_id)", "ID klienta (entity_id)"
"Hold CTRL to select more than one","Przytrzymaj klawisz CTRL, by zaznaczyć więcej niż jedną opcję."
"SARE integration", "SARE - integracja"
"<![CDATA[<div class='sare-headline'>SARE integration</div>]]>","<![CDATA[<div class='sare-headline'>SARE - integracja</div>]]>"
'<div class="sare-headline">SARE integration</div>","<div class="sare-headline">SARE - integracja</div>'
"Abandoned carts interface allows you to get list of abandoned carts which you can import to SARE and use in your email markting actions.", "Interfejs porzuconych koszyków pozwala uzyskać listę porzuconych koszyków, która może zostać zaimportowana do SARE i wykorzystana w działaniach e-mail marketingowych."
"Read more <a href=\"#\">here</a>.", "Więcej informacji <a href=\"#\">tutaj</a>."
"Interface URL:", "URL interfejsu:"
